wl	n
0.790022	5.289533
0.791606	5.301192
0.793190	5.312849
0.794773	5.324505
0.796357	5.336160
0.797940	5.347814
0.799524	5.359467
0.801107	5.371118
0.802690	5.382769
0.804273	5.394418
0.805856	5.406066
0.807439	5.417713
0.809022	5.429359
0.810604	5.441004
0.812187	5.452648
0.813769	5.464291
0.815351	5.475933
0.816933	5.487574
0.818515	5.499214
0.820097	5.510853
0.821679	5.522492
0.823261	5.534129
0.824842	5.545766
0.826423	5.557402
0.828004	5.569037
0.829586	5.580671
0.831167	5.592304
0.832747	5.603937
0.834328	5.615569
0.835908	5.627200
0.837489	5.638831
0.839069	5.650461
0.840649	5.662091
0.842229	5.673719
0.843809	5.685347
0.845389	5.696974
0.846969	5.708601
0.848548	5.720227
0.850127	5.731853
0.851707	5.743478
0.853286	5.755103
0.854865	5.766727
0.856443	5.778351
0.858022	5.789974
0.859601	5.801596
0.861179	5.813218
0.862757	5.824838
0.864335	5.836457
0.865913	5.848072
0.867491	5.859686
0.869069	5.871296
0.870646	5.882901
0.872224	5.894502
0.873801	5.906098
0.875378	5.917688
0.876955	5.929273
0.878532	5.940850
0.880108	5.952421
0.881685	5.963985
0.883261	5.975539
0.884837	5.987087
0.886413	5.998625
0.887989	6.010153
0.889565	6.021672
0.891141	6.033179
0.892716	6.044677
0.894292	6.056163
0.895867	6.067638
0.897442	6.079100
0.899017	6.090549
0.900591	6.101986
0.902166	6.113409
0.903740	6.124818
0.905314	6.136213
0.906888	6.147593
0.908462	6.158958
0.910036	6.170307
0.911610	6.181640
0.913183	6.192957
0.914756	6.204256
0.916330	6.215539
0.917903	6.226804
0.919475	6.238050
0.921048	6.249279
0.922621	6.260488
0.924193	6.271678
0.925765	6.282849
0.927337	6.293999
0.928909	6.305128
0.930480	6.316237
0.932052	6.327326
0.933623	6.338392
0.935195	6.349436
0.936766	6.360458
0.938336	6.371458
0.939907	6.382434
0.941478	6.393386
0.943048	6.404315
0.944618	6.415221
0.946188	6.426101
0.947758	6.436957
0.949328	6.447787
0.950897	6.458592
0.952466	6.469371
0.954036	6.480124
0.955604	6.490850
0.957173	6.501549
0.958742	6.512221
0.960310	6.522865
0.961879	6.533482
0.963447	6.544070
0.965015	6.554630
0.966582	6.565163
0.968150	6.575672
0.969717	6.586155
0.971285	6.596616
0.972852	6.607054
0.974418	6.617472
0.975985	6.627869
0.977552	6.638247
0.979118	6.648609
0.980684	6.658953
0.982250	6.669283
0.983816	6.679598
0.985381	6.689900
0.986947	6.700190
0.988512	6.710469
0.990077	6.720737
0.991642	6.730997
0.993206	6.741249
0.994771	6.751494
0.996335	6.761734
0.997899	6.771968
0.999463	6.782199
1.011663	6.862039
1.015086	6.884487
1.018509	6.906973
1.021931	6.929505
1.025352	6.952094
1.028773	6.974749
1.032194	6.997482
1.035614	7.020300
1.039034	7.043213
1.042454	7.066231
1.045873	7.089362
1.049292	7.112615
1.052711	7.135994
1.056129	7.159493
1.059547	7.183104
1.062964	7.206822
1.066382	7.230639
1.069799	7.254547
1.073215	7.278542
1.076632	7.302617
1.080048	7.326764
1.083464	7.350977
1.086879	7.375250
1.090295	7.399578
1.093710	7.423954
1.097125	7.448371
1.100539	7.472825
1.103954	7.497308
1.107368	7.521816
1.110782	7.546343
1.114196	7.570882
1.117609	7.595429
1.121023	7.619978
1.124436	7.644524
1.127849	7.669060
1.131262	7.693583
1.134675	7.718087
1.138088	7.742566
1.141500	7.767016
1.144913	7.791431
1.148325	7.815808
1.151738	7.840140
1.155150	7.864427
1.158562	7.888671
1.161974	7.912871
1.165386	7.937028
1.168798	7.961143
1.172210	7.985217
1.175622	8.009251
1.179034	8.033244
1.182446	8.057199
1.185858	8.081115
1.189270	8.104993
1.192682	8.128834
1.196093	8.152638
1.199505	8.176407
1.202917	8.200140
1.206329	8.223838
1.209742	8.247503
1.213154	8.271133
1.216566	8.294731
1.219978	8.318298
1.223391	8.341832
1.226803	8.365335
1.230216	8.388808
1.233629	8.412251
1.237041	8.435664
1.240454	8.459049
1.243867	8.482405
1.247281	8.505734
1.250694	8.529036
1.254108	8.552311
1.257522	8.575560
1.260936	8.598783
1.264350	8.621981
1.267764	8.645155
1.271179	8.668305
1.274594	8.691432
1.278009	8.714535
1.281424	8.737616
1.284840	8.760676
1.288255	8.783713
1.291671	8.806729
1.295088	8.829725
1.298504	8.852701
1.301921	8.875657
1.305338	8.898595
1.308756	8.921513
1.312174	8.944413
1.315592	8.967296
1.319010	8.990160
1.322429	9.013009
1.325849	9.035841
1.329268	9.058658
1.332688	9.081461
1.336108	9.104251
1.339529	9.127028
1.342950	9.149794
1.346372	9.172549
1.349794	9.195294
1.353216	9.218031
1.356639	9.240759
1.360062	9.263480
1.363486	9.286194
1.366910	9.308902
1.370334	9.331606
1.373759	9.354306
1.377185	9.377002
1.380611	9.399697
1.384038	9.422389
1.387465	9.445081
1.390892	9.467772
1.394320	9.490464
1.397749	9.513157
1.401178	9.535853
1.404608	9.558552
1.408038	9.581255
1.411469	9.603961
1.414900	9.626673
1.418332	9.649391
1.421765	9.672115
1.425198	9.694847
1.428632	9.717586
1.432067	9.740335
1.435502	9.763092
1.438938	9.785860
1.442374	9.808639
1.445811	9.831430
1.449249	9.854231
