wl	n
1.978294	4.643
1.979950	4.639
1.981606	4.636
1.983262	4.632
1.984917	4.629
1.986573	4.625
1.988229	4.622
1.989885	4.618
1.991541	4.615
1.993197	4.611
1.994852	4.607
1.996508	4.604
1.998164	4.600
1.999820	4.597
2.001476	4.593
2.003132	4.589
2.004787	4.586
2.006443	4.582
2.008099	4.578
2.009755	4.575
2.011411	4.571
2.013067	4.567
2.014722	4.564
2.016378	4.560
2.018034	4.556
2.019690	4.553
2.021346	4.549
2.023002	4.545
2.024657	4.542
2.026313	4.538
2.027969	4.534
2.029625	4.530
2.031281	4.527
2.032936	4.523
2.034592	4.519
2.036248	4.515
2.037904	4.512
2.039560	4.508
2.041216	4.504
2.042871	4.500
2.044527	4.497
2.046183	4.493
2.047839	4.489
2.049495	4.485
2.051151	4.481
2.052806	4.478
2.054462	4.474
2.056118	4.470
2.057774	4.466
2.059430	4.462
2.061086	4.459
2.062741	4.455
2.064397	4.451
2.066053	4.447
2.067709	4.443
2.069365	4.439
2.071021	4.436
2.072676	4.432
2.074332	4.428
2.075988	4.424
2.077644	4.420
2.079300	4.416
2.080955	4.412
2.082611	4.408
2.084267	4.405
2.085923	4.401
2.087579	4.397
2.089235	4.393
2.090890	4.389
2.092546	4.385
2.094202	4.381
2.095858	4.377
2.097514	4.373
2.099170	4.370
2.100825	4.366
2.102481	4.362
2.104137	4.358
2.105793	4.354
2.107449	4.350
2.109105	4.346
2.110760	4.342
2.112416	4.338
2.114072	4.334
2.115728	4.330
2.117384	4.327
2.119040	4.323
2.120695	4.319
2.122351	4.315
2.124007	4.311
2.125663	4.307
2.127319	4.303
2.128974	4.299
2.130630	4.295
2.132286	4.291
2.133942	4.287
2.135598	4.283
2.137254	4.279
2.138909	4.275
2.140565	4.272
2.142221	4.268
2.143877	4.264
2.145533	4.260
2.147189	4.256
2.148844	4.252
2.150500	4.248
2.152156	4.244
2.153812	4.240
2.155468	4.236
2.157124	4.232
2.158779	4.228
2.160435	4.224
2.162091	4.220
2.163747	4.216
2.165403	4.212
2.167059	4.208
2.168714	4.205
2.170370	4.201
2.172026	4.197
2.173682	4.193
2.175338	4.189
2.176994	4.185
2.178649	4.181
2.180305	4.177
2.181961	4.173
2.183617	4.169
2.185273	4.165
2.186928	4.161
2.188584	4.157
2.190240	4.153
2.191896	4.150
2.193552	4.146
2.195208	4.142
2.196863	4.138
2.198519	4.134
2.200175	4.130
2.201831	4.126
2.203487	4.122
2.205143	4.118
2.206798	4.114
2.208454	4.110
2.210110	4.106
2.211766	4.103
2.213422	4.099
2.215078	4.095
2.216733	4.091
2.218389	4.087
2.220045	4.083
2.221701	4.079
2.223357	4.075
2.225013	4.071
2.226668	4.067
2.228324	4.064
2.229980	4.060
2.231636	4.056
2.233292	4.052
2.234947	4.048
2.236603	4.044
2.238259	4.040
2.239915	4.036
2.241571	4.033
2.243227	4.029
2.244882	4.025
2.246538	4.021
2.248194	4.017
2.249850	4.013
2.251506	4.010
2.253162	4.006
2.254817	4.002
2.256473	3.998
2.258129	3.994
2.259785	3.990
2.261441	3.987
2.263097	3.983
2.264752	3.979
2.266408	3.975
2.268064	3.971
2.269720	3.967
2.271376	3.964
2.273032	3.960
2.274687	3.956
2.276343	3.952
2.277999	3.948
2.279655	3.945
2.281311	3.941
2.282966	3.937
2.284622	3.933
2.286278	3.930
2.287934	3.926
2.289590	3.922
2.291246	3.918
2.292901	3.915
2.294557	3.911
2.296213	3.907
2.297869	3.903
2.299525	3.900
2.301181	3.896
2.302836	3.892
2.304492	3.888
2.306148	3.885
2.307804	3.881
2.309460	3.877
2.311116	3.874
2.312771	3.870
2.314427	3.866
2.316083	3.862
2.317739	3.859
2.319395	3.855
2.321051	3.851
2.322706	3.848
2.324362	3.844
2.326018	3.840
2.327674	3.837
2.329330	3.833
2.330985	3.829
2.332641	3.826
2.334297	3.822
2.335953	3.819
2.337609	3.815
2.339265	3.811
2.340920	3.808
2.342576	3.804
2.344232	3.800
2.345888	3.797
2.347544	3.793
2.349200	3.790
2.350855	3.786
2.352511	3.782
2.354167	3.779
2.355823	3.775
2.357479	3.772
2.359135	3.768
2.360790	3.765
2.362446	3.761
2.364102	3.758
2.365758	3.754
2.367414	3.750
2.369070	3.747
2.370725	3.743
2.372381	3.740
2.374037	3.736
2.375693	3.733
2.377349	3.729
2.379004	3.726
2.380660	3.722
2.382316	3.719
2.383972	3.715
2.385628	3.712
2.387284	3.708
2.388939	3.705
2.390595	3.701
